Dataset,Implementation,Variant,loss,optim,constrained_embedding,embedding,final_act,layers,batch_size,dropout_p_embed,dropout_p_hidden,learning_rate,momentum,n_sample,sample_alpha,bpreg,logq,Recall@1,MRR@1,Recall@5,MRR@5,Recall@10,MRR@10,Recall@20,MRR@20,Avg. epoch time (s),Avg. e/s,Avg. mb/s,Recall@1 Diff,MRR@1 Diff,Recall@5 Diff,MRR@5 Diff,Recall@10 Diff,MRR@10 Diff,Recall@20 Diff,MRR@20 Diff
Yoochoose,Recpack,Correct full,cross-entropy,adagrad,FALSE,480,softmax,480,48,0,0.2,0.07,N/A,N/A,N/A,0,N/A,0.1647,0.1647,0.4074,0.2516,0.5283,0.2678,0.6382,0.2755,13693.73,1570.76,203.72,-8.33%,-8.33%,-8.59%,-8.77%,-7.29%,-8.41%,-6.19%,-8.23%
Coveo,GRU4Rec Official,Best params,bpr-max,adagrad,TRUE,0,elu-1,512,144,0.35,0,0.05,0.4,2048,0.2,1.85,0,0.0501,0.0501,0.1464,0.0835,0.2172,0.0928,0.3123,0.0994,12.38,100615,704.14,,,,,,,,
Coveo,GRU4Rec Official,GRU4REC-pytorch params,bpr-max,adagrad,FALSE,512,elu-1,512,144,0.35,0,0.05,0,0,0,0,0,0.0297,0.0297,0.0965,0.0525,0.1485,0.0593,0.2216,0.0643,9.25,134690,941.96,-40.78%,-40.78%,-34.09%,-37.15%,-31.64%,-36.10%,-29.03%,-35.25%
Coveo,GRU4REC-pytorch,OOB,bpr-max,adagrad,FALSE,512,elu-1,512,144,N/A,N/A,0.05,N/A,N/A,N/A,N/A,N/A,0.011,0.011,0.0421,0.0212,0.0699,0.0248,0.1141,0.0279,23.35,53288.62,370.06,-78.15%,-78.15%,-71.20%,-74.56%,-67.80%,-73.24%,-63.46%,-71.96%
Coveo,GRU4REC-pytorch,OOB Correct Eval,bpr-max,adagrad,FALSE,512,elu-1,512,144,N/A,N/A,0.05,N/A,N/A,N/A,N/A,N/A,0.014,0.014,0.0567,0.0281,0.0934,0.0329,0.151,0.0368,23.19,53660.93,372.64,-72.16%,-72.16%,-61.23%,-66.35%,-57.01%,-64.60%,-51.65%,-63.00%
Coveo,GRU4REC-pytorch,Correct full,bpr-max,adagrad,FALSE,512,elu-1,512,144,0.35,0,0.05,N/A,N/A,N/A,N/A,N/A,0.0165,0.0165,0.0626,0.032,0.1014,0.0371,0.1582,0.041,31.91,39046.98,271.16,-67.09%,-67.09%,-57.23%,-61.67%,-53.33%,-60.04%,-49.33%,-58.77%
Coveo,GRU4Rec Official,Torch-GRU4Rec params,bpr-max,adagrad,FALSE,512,elu-1,512,144,0.35,0,0.05,0,2048,0.2,1.85,0,0.0484,0.0484,0.143,0.0811,0.2107,0.0901,0.2995,0.0962,12.23,101803,712.45,-3.52%,-3.52%,-2.27%,-2.86%,-2.98%,-2.99%,-4.09%,-3.21%
Coveo,Torch-GRU4Rec,OOB,bpr-max,adagrad,FALSE,512,elu-1,512,144,0.35,0,0.05,N/A,2048,0.2,1.85,N/A,0.0479,0.0479,0.14,0.0794,0.2067,0.0883,0.296,0.0944,32.18,38719,270.97,-4.43%,-4.43%,-4.35%,-4.88%,-4.84%,-4.92%,-5.23%,-5.01%
Coveo,GRU4Rec Official,Recpack params,bpr-max,adagrad,FALSE,512,linear,512,144,0.35,0,0.05,0,2048,0,1.85,0,0.0471,0.0471,0.1418,0.08,0.2104,0.089,0.3003,0.0951,12.19,102167,715,-6.02%,-6.02%,-3.08%,-4.21%,-3.16%,-4.15%,-3.84%,-4.25%
Coveo,Recpack,OOB,bpr-max,adagrad,FALSE,512,N/A,512,144,0.35,0.35,0.05,N/A,2048,N/A,1,N/A,0.0287,0.0287,0.0905,0.0499,0.1405,0.0565,0.2091,0.0612,770.91,1615.97,110.48,-42.83%,-42.83%,-38.18%,-40.25%,-35.29%,-39.19%,-33.04%,-38.46%
Coveo,Recpack,Correct exp,bpr-max,adagrad,FALSE,512,N/A,512,144,0.35,0.35,0.05,N/A,2048,N/A,1.85,N/A,0.0265,0.0265,0.0855,0.0469,0.1309,0.0528,0.1953,0.0573,760.89,1636.88,111.91,-47.19%,-47.19%,-41.56%,-43.86%,-39.75%,-43.08%,-37.45%,-42.37%
Coveo,Recpack,Correct full,bpr-max,adagrad,FALSE,512,N/A,512,144,0.35,0,0.05,N/A,2048,N/A,1.85,N/A,0.0205,0.0205,0.0643,0.0351,0.1005,0.0399,0.1536,0.0435,758.63,1641.79,112.25,-59.09%,-59.09%,-56.05%,-57.94%,-53.73%,-57.07%,-50.80%,-56.25%
Coveo,GRU4Rec Official,Best params,cross-entropy,adagrad,TRUE,0,softmax,512,32,0.4,0.15,0.03,0,2048,0,0,1,0.0489,0.0489,0.1418,0.0814,0.2085,0.0901,0.2947,0.096,37.17,33505,1047.47,,,,,,,,
Coveo,GRU4Rec Official,GRU4REC-pytorch params,cross-entropy,adagrad,FALSE,512,softmax,512,32,0.4,0.15,0.03,0,0,0,0,0,0.0275,0.0275,0.0871,0.0478,0.1362,0.0543,0.2061,0.0591,30.51,40819,1276.12,-43.74%,-43.74%,-38.54%,-41.18%,-34.70%,-39.78%,-30.08%,-38.46%
